# pages  trials  ns_per_access
1	100000000	2.96 ns/access
2	50000000	2.74 ns/access
4	25000000	2.55 ns/access
8	12500000	2.52 ns/access
16	6250000	2.52 ns/access
32	3125000	2.79 ns/access
64	1562500	2.68 ns/access
128	781250	2.76 ns/access
256	390625	3.00 ns/access
512	195312	3.05 ns/access
1024	97656	3.07 ns/access
2048	48828	4.93 ns/access
